FILE,CELL,N_Q570,N_Q670,N_GFP,dose,normalized_Q570
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_3,0,161,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_4,14,124,11,0.01,0.11290322580645161
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_5,8,115,6,0.01,0.06956521739130435
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_6,0,215,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_7,0,128,3,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_8,20,128,2,0.01,0.15625
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_9,4,125,5,0.01,0.032
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_10,2,132,17,0.01,0.015151515151515152
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_11,0,101,1,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_12,27,174,36,0.01,0.15517241379310345
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_1,4,195,8,0.01,0.020512820512820513
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_2,14,135,16,0.01,0.1037037037037037
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_3,19,253,17,0.01,0.07509881422924901
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_6,23,112,5,0.01,0.20535714285714285
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_7,1,295,0,0.01,0.003389830508474576
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_8,43,98,12,0.01,0.4387755102040816
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_9,32,125,23,0.01,0.256
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_10,6,159,17,0.01,0.03773584905660377
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_11,2,167,2,0.01,0.011976047904191617
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_12,5,180,12,0.01,0.027777777777777776
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_13,22,67,6,0.01,0.3283582089552239
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_14,48,216,5,0.01,0.2222222222222222
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_15,46,94,7,0.01,0.48936170212765956
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_16,30,301,14,0.01,0.09966777408637874
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_18,0,110,2,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_19,0,205,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_09_R3D_D3D_Q570_outline.txt,Cell_CP_20,20,233,13,0.01,0.08583690987124463
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_1,37,125,16,0.01,0.296
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_2,1,188,8,0.01,0.005319148936170213
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_6,0,171,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_7,18,67,3,0.01,0.26865671641791045
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_8,29,106,9,0.01,0.27358490566037735
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_9,8,153,17,0.01,0.05228758169934641
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_10,51,104,4,0.01,0.49038461538461536
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_11,39,118,27,0.01,0.3305084745762712
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_12,43,140,3,0.01,0.30714285714285716
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_13,6,258,1,0.01,0.023255813953488372
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_14,0,157,3,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_15,5,77,5,0.01,0.06493506493506493
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_18,1,111,6,0.01,0.009009009009009009
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_19,35,112,24,0.01,0.3125
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_20,0,93,5,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_21,9,139,0,0.01,0.06474820143884892
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_22,3,106,14,0.01,0.02830188679245283
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_23,1,100,11,0.01,0.01
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_10_R3D_D3D_Q570_outline.txt,Cell_CP_24,17,57,17,0.01,0.2982456140350877
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_1,17,47,18,0.1,0.3617021276595745
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_2,19,161,10,0.1,0.11801242236024845
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_3,8,156,7,0.1,0.05128205128205128
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_4,40,154,15,0.1,0.2597402597402597
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_5,25,160,16,0.1,0.15625
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_6,26,100,16,0.1,0.26
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_7,70,153,7,0.1,0.45751633986928103
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_8,1,134,2,0.1,0.007462686567164179
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_10,1,184,16,0.1,0.005434782608695652
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_11,35,169,29,0.1,0.20710059171597633
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_12,12,238,10,0.1,0.05042016806722689
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_13,4,107,5,0.1,0.037383177570093455
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_14,4,201,1,0.1,0.01990049751243781
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_15,14,107,16,0.1,0.1308411214953271
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_1,27,93,13,0.1,0.2903225806451613
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_2,18,113,17,0.1,0.1592920353982301
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_5,11,87,16,0.1,0.12643678160919541
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_6,0,271,0,0.1,0
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_7,59,187,11,0.1,0.3155080213903743
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_9,47,171,5,0.1,0.27485380116959063
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_11,3,140,7,0.1,0.02142857142857143
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_12,52,99,24,0.1,0.5252525252525253
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_13,44,204,22,0.1,0.21568627450980393
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_14,2,72,13,0.1,0.027777777777777776
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_15,11,128,11,0.1,0.0859375
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_16,62,68,13,0.1,0.9117647058823529
20200715_DT40_RELAGFP_CD83_M4_0.1ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_17,65,272,5,0.1,0.23897058823529413
